,name,url,icon
52,ゲッコウガ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/gekkouga.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1151443243.jpg
53,Miiファイター,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/mii_fighter.png,https://img.altema.jp/sumaburaswitch/uploads/2018/12/2018y12m09d_1340514452.jpg
54,パルテナ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/palutena.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1152498968.jpg
55,パックマン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/pac_man.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1153159575.jpg
56,ルフレ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/reflet.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1153564738.jpg
57,シュルク,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/shulk.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1154289879.jpg
58,クッパ Jr.,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/koopa_jr.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_115449052.jpg
59,ダックハント,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/duck_hunt.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1155352347.jpg
60,リュウ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ryu.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1156145459.jpg
61,ケン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ken.png,https://img.altema.jp/sumaburaswitch/uploads/2018/11/2018y11m02d_0004417085.jpg
62,クラウド,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/cloud.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1156428218.jpg
63,カムイ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/kamui.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1157021111.jpg
64,ベヨネッタ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/bayonetta.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1157316466.jpg
65,インクリング,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/inkling.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1157519079.jpg
66,リドリー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ridley.png,https://img.altema.jp/sumaburaswitch/uploads/2018/06/2018y06m13d_1158296495.jpg
67,シモン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/simon.png,https://img.altema.jp/sumaburaswitch/uploads/2020/02/2020y02m27d_1310122265.jpg
68,リヒター,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/richter.png,https://img.altema.jp/sumaburaswitch/uploads/2020/02/2020y02m27d_131844021.jpg
69,キングクルール,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/king_k_rool.png,https://img.altema.jp/sumaburaswitch/uploads/2018/08/2018y08m09d_0110497101.jpg
70,しずえ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/shizue.png,https://img.altema.jp/sumaburaswitch/uploads/2020/02/2020y02m27d_131310907.jpg
71,ガオガエン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/gaogaen.png,https://img.altema.jp/sumaburaswitch/uploads/2018/11/2018y11m02d_0004389071.jpg
72,パックンフラワー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/packun_flower.png,https://img.altema.jp/sumaburaswitch/uploads/2020/02/2020y02m27d_1313135397.jpg
73,ジョーカー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/joker.png,https://img.altema.jp/sumaburaswitch/uploads/2019/04/2019y04m17d_122336634.jpg
74,勇者,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/dq_hero.png,https://img.altema.jp/sumaburaswitch/uploads/2019/06/2019y06m12d_0206552458.jpg
75,バンジョー&カズーイ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/banjo_and_kazooie.png,https://img.altema.jp/sumaburaswitch/uploads/2019/06/2019y06m12d_0207059368.jpg
76,テリー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/terry.png,https://img.altema.jp/sumaburaswitch/uploads/2019/09/2019y09m05d_0925085265.jpg
77,ベレト - ベレス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/byleth.png,https://img.altema.jp/sumaburaswitch/uploads/2020/02/2020y02m27d_1313158427.jpg
78,ミェンミェン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/minmin.png,https://img.altema.jp/sumaburaswitch/uploads/2020/06/2020y06m24d_1200183995.jpg
79,スティーブ -アレックス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/steve.png,https://img.altema.jp/sumaburaswitch/uploads/2020/10/2020y10m01d_2344014763.jpg
80,セフィロス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sephiroth.png,https://img.altema.jp/sumaburaswitch/uploads/2020/12/2020y12m11d_1048143846.jpg
81,ホムラ - ヒカリ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/homura.png,https://img.altema.jp/sumaburaswitch/uploads/2021/03/2021y03m05d_1600017468.jpg
82,カズヤ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/kazuya.png,https://img.altema.jp/sumaburaswitch/uploads/2021/06/2021y06m16d_0143324596.jpg
83,ソラ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sora.png,https://img.altema.jp/sumaburaswitch/uploads/2021/10/2021y10m11d_1250116827.jpg
