,name,url,small_url
66,リドリー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/ridley.png,https://img.game8.jp/2399811/98346b5e0ab4c93f0f6a4fa343bf43c6.jpeg/show
67,シモン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/simon.png,https://img.game8.jp/2399791/45c42e3a4615e01c1d057fe246a65e03.jpeg/show
68,リヒター,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/richter.png,https://img.game8.jp/2399807/ed8f0443c3c4ee6baebd87f8653d2b67.jpeg/show
69,キングクルール,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/king_k_rool.png,https://img.game8.jp/2399762/758907bc27715d4db897519fc4425ac2.jpeg/show
70,しずえ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/shizue.png,https://img.game8.jp/2399766/e5f79f4c73aa83834fe619800da6a705.jpeg/show
71,ガオガエン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/gaogaen.png,https://img.game8.jp/2399827/774de71f5e3ac9650798f056faf63637.jpeg/show
72,パックンフラワー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/packun_flower.png,https://img.game8.jp/2399815/d331f1223e0a464f7f3b01a7ec117da3.jpeg/show
73,ジョーカー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/joker.png,https://img.game8.jp/3139842/d108567cb83525a6b825c61e6e086f88.jpeg/show
74,勇者,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/dq_hero.png,https://img.game8.jp/3300538/e68ab7227c6aab5ec68d994522923ca0.jpeg/show
75,バンジョー&カズーイ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/banjo_and_kazooie.png,https://img.game8.jp/3300541/05291d2193649d98bd6dbf7fe7c97be7.jpeg/show
76,テリー,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/terry.png,https://img.game8.jp/3713518/80639826fdd2c3717bd4ead5b5fd18dc.jpeg/show
77,ベレト - ベレス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/byleth.png,https://img.game8.jp/3958677/49d25b259637ddb657a54e9301cd3551.jpeg/show
78,ミェンミェン,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/minmin.png,https://img.game8.jp/4700737/cda6e30df171e2f7560dfb06c8d65921.jpeg/show
79,スティーブ -アレックス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/steve.png,https://img.game8.jp/5089457/01ce8bfed0f6ba23841b0c26bde2a35e.png/show
80,セフィロス,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sephiroth.png,https://img.game8.jp/5388910/80e927eecb20de4d525932e4eb2771b5.png/show
81,ホムラ - ヒカリ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/homura.png,https://img.game8.jp/5624088/e67bb112ab63c3c0cd6f25d733547665.png/show
82,カズヤ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/kazuya.png,https://img.game8.jp/5905115/8b0bf10adf961ac3318e17550906b067.png/show
83,ソラ,https://www.smashbros.com/assets_v2/img/fighter/thumb_h/sora.png,https://img.game8.jp/6209988/dd20cb32922b6b77050e87a06050b7e2.png/show
